Código;Pilas:;Frente: ;Ni;Co;Fe;SiO2;MgO;Al2O3;Cr2O3;Mn;Cu;Zn;Na;K
M402;224;YS;0,82;0,155;45,23;3,12;0,531;11,07;1,8;0,59;;;;
M403;225;YS;0,99;0,139;25,61;15,18;5,52;6,03;1,32;0,62;;;;
M404;226;YS;1,36;0,193;43,81;3,52;0,645;7,97;1,89;1;;;;
M405;227;CE;1,4;0,193;35,56;8,26;2,62;7,31;1,74;0,92;;;;
M406;228;CE;1,01;0,152;37,48;5,21;1,31;9,24;1,8;0,67;;;;
M407;229;CE;0,82;0,213;41,25;2,86;0,575;13,56;1,73;0,77;;;;
M408;230;CE;0,93;0,164;42,74;2,8;0,6;11,7;1,84;0,77;;;;
M409;231;YN;0,89;0,131;41,11;3,39;0,62;10,58;1,81;0,58;;;;
M410;232;YS;1,64;0,087;32,61;18,63;5,18;3,49;1,4;0,5;;;;
M411;233;YS;1,58;0,104;26,91;23,36;8,03;2,59;1,22;0,47;;;;
M412;234;CE;1,41;0,184;44,37;6,66;1,46;6,23;1,97;0,85;;;;
M413;235;YS;1,19;0,151;41,96;6,96;1,64;5,03;1,98;0,71;;;;
M414;236;YN;1,32;0,074;28,71;21,43;7,19;2,71;1,27;0,57;;;;
M415;237;YN;1,31;0,169;42,99;7,65;1,2;7,63;1,95;1,01;;;;
M416;238;YN;1,31;0,118;39,61;11,51;2,64;6,09;1,73;0,74;;;;
M417;239;YN;1,5;0,113;34,19;14,88;4,79;4,05;1,5;0,79;;;;
M418;240;YN;1,72;0,096;36,29;15,13;3,86;3,92;1,61;0,72;;;;
